Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,Location_ratio
1,1360,5,4,3,1970,1,1,0,149919,0.2796684974189952
2,4272,5,4,3,1958,1,1,0,424998,0.7928184690804909
3,3592,2,2,3,1938,1,3,0,266746,0.4976050601493292
4,966,4,2,2,1902,3,2,1,244020,0.43776973405276365
5,4926,1,4,2,1975,1,2,1,636056,1.1865395699967076
6,3944,1,2,1,1906,4,4,0,93262,0.17970819006055294
7,3671,1,1,2,1948,2,4,1,448722,0.8331050575279354
8,3419,2,4,1,1925,3,3,1,594893,1.0672328104247633
9,630,2,2,1,1932,2,4,1,652878,1.2121446324199023
10,2185,3,3,1,2000,1,4,0,340375,0.6349573090068003
11,1269,1,4,2,1947,3,4,1,653685,1.1727051413993967
12,2891,4,4,3,1978,4,1,1,127123,0.24495554722253082
13,2933,4,3,2,1901,1,4,0,849947,1.5855455304249808
14,1684,1,1,1,2004,2,3,0,399355,0.7414494280402313
15,3885,1,3,1,1970,4,2,1,481838,0.9284621269369808
16,4617,1,4,2,1931,1,4,0,853032,1.5913004868650424
17,3404,2,1,1,1903,4,2,1,208964,0.40265641126947077
18,974,2,2,1,1919,1,4,1,905742,1.6896290943060954
19,1582,2,2,2,2013,3,3,0,989305,1.7748044699084884
20,3058,5,2,2,2016,1,1,0,218767,0.40810196289237066
21,2547,4,4,2,1935,3,3,1,996357,1.7874556958921786
22,3247,4,3,1,1931,1,1,0,709789,1.3240858271101805
23,1475,3,1,1,1927,1,4,0,709966,1.3244160142381842
24,2306,2,2,3,1976,2,4,1,447694,0.831196454876096
25,689,5,1,3,1900,4,1,1,688668,1.327006496028617
26,3234,5,4,2,1959,4,3,1,527032,1.0155472413629703
27,3505,4,2,3,1955,4,3,1,745494,1.436505516083741
28,2399,2,4,1,1934,1,1,1,513179,0.9573169500662526
29,1767,3,3,3,2011,1,4,1,948212,1.768855350386944
30,2028,2,4,1,1929,1,1,0,206547,0.3853059928121265
31,3702,1,4,2,1953,3,4,0,902609,1.6192726083256739
32,4056,2,3,2,1935,3,1,1,727090,1.304393065865191
33,4390,1,1,1,2020,2,4,0,202185,0.3753801820643642
34,1146,1,3,3,1954,1,1,0,725371,1.3531534871584918
35,3388,3,3,2,1988,4,2,1,105746,0.20376382949264685
36,2935,4,4,2,1979,4,4,0,959507,1.8488909343615938
37,1100,2,1,3,1957,2,3,0,748213,1.3891452489696274
38,2863,1,2,3,1982,4,1,1,921627,1.7758992953286141
39,2561,2,3,1,1964,2,3,0,873250,1.6212911145124813
40,741,4,1,3,1968,1,1,0,218393,0.4074042793563632
41,2541,4,3,3,1950,4,3,1,333453,0.6425364575096133
42,3324,5,3,3,1921,1,3,0,986192,1.8397056731077028
43,3112,4,3,1,1987,3,1,0,340320,0.6105310871766106
44,1863,3,3,1,2006,4,1,0,643167,1.2393298178966314
45,1978,1,4,2,2008,3,3,1,641880,1.1515270752142772
46,3056,5,1,1,2015,4,3,1,396872,0.764739645361581
47,1275,3,1,2,2000,1,3,0,270084,0.5038319789813959
48,4514,2,1,3,1952,2,4,0,976920,1.813766636804504
49,534,1,3,2,1999,1,4,1,771782,1.4397315368634191
